Date,Open,High,Low,Close,Adj Close,Volume,Season_spring,Season_summer,Season_fall,Season_winter,quarter_1,quarter_2,quarter_3,quarter_4,Gain/Loss
12/31/20,134.080002,134.740005,131.720001,132.690002,132.267349,99116600,0,0,0,1,0,0,0,1,Gain
12/31/19,72.482498,73.419998,72.379997,73.412498,72.552094,100805600,0,0,0,1,0,0,0,1,Gain
12/31/18,39.6325,39.84,39.119999,39.435001,38.39592,140014000,0,0,0,1,0,0,0,1,Gain
12/31/15,26.752501,26.7575,26.205,26.315001,24.302439,163649200,0,0,0,1,0,0,0,1,Loss
12/31/14,28.205,28.282499,27.5525,27.594999,25.057606,165613600,0,0,0,1,0,0,0,1,Gain
12/31/13,19.791786,20.045713,19.785713,20.036428,17.819059,223084400,0,0,0,1,0,0,0,1,Gain
12/31/12,18.233213,19.121429,18.178572,19.006071,16.488508,659492400,0,0,0,1,0,0,0,1,Gain
12/31/10,11.533929,11.552857,11.475357,11.52,9.906079,193508000,0,0,0,1,0,0,0,1,Gain
12/31/09,7.611786,7.619643,7.52,7.526071,6.471691,352410800,0,0,0,1,0,0,0,1,Gain
12/31/08,3.070357,3.133571,3.047857,3.048214,2.621168,607541200,0,0,0,1,0,0,0,1,Loss
12/31/07,7.125,7.160714,7.0625,7.074286,6.083199,539333200,0,0,0,1,0,0,0,1,Gain
12/31/04,1.15875,1.160714,1.143393,1.15,0.988888,278588800,0,0,0,1,0,0,0,1,Gain
12/31/03,0.38125,0.384464,0.378214,0.381607,0.328145,174451200,0,0,0,1,0,0,0,1,Gain
12/31/02,0.25,0.256429,0.249107,0.255893,0.220043,200726400,0,0,0,1,0,0,0,1,Loss
12/31/01,0.401964,0.404643,0.389821,0.391071,0.336283,137782400,0,0,0,1,0,0,0,1,Loss
12/31/99,0.901228,0.918527,0.888393,0.917969,0.789364,163811200,0,0,0,1,0,0,0,1,Gain
12/31/98,0.361607,0.36942,0.352679,0.365513,0.314306,271689600,0,0,0,1,0,0,0,1,Gain
12/31/97,0.117188,0.121652,0.115513,0.117188,0.10077,406358400,0,0,0,1,0,0,0,1,Loss
12/31/96,0.190848,0.191964,0.185268,0.186384,0.160272,383745600,0,0,0,1,0,0,0,1,Gain
