Date,Season,Quarter
2/11/81,Winter,Q1
2/12/81,Winter,Q1
2/13/81,Winter,Q1
2/17/81,Winter,Q1
2/18/81,Winter,Q1
2/19/81,Winter,Q1
2/20/81,Winter,Q1
2/23/81,Winter,Q1
2/24/81,Winter,Q1
2/25/81,Winter,Q1
2/26/81,Winter,Q1
2/27/81,Winter,Q1
3/2/81,Spring,Q1
3/3/81,Spring,Q1
3/4/81,Spring,Q1
3/5/81,Spring,Q1
3/6/81,Spring,Q1
3/9/81,Spring,Q1
3/10/81,Spring,Q1
3/11/81,Spring,Q1
3/12/81,Spring,Q1
3/13/81,Spring,Q1
3/16/81,Spring,Q1
3/17/81,Spring,Q1
3/18/81,Spring,Q1
3/19/81,Spring,Q1
3/20/81,Spring,Q1
3/23/81,Spring,Q1
3/24/81,Spring,Q1
3/25/81,Spring,Q1
3/26/81,Spring,Q1
3/27/81,Spring,Q1
3/30/81,Spring,Q1
3/31/81,Spring,Q1
4/1/81,Spring,Q2
4/2/81,Spring,Q2
4/3/81,Spring,Q2
4/6/81,Spring,Q2
4/7/81,Spring,Q2
4/8/81,Spring,Q2
4/9/81,Spring,Q2
