Date,Adj_Date,Season,Quarter
12/31/20,12/31,Winter,Q1
12/31/19,12/31,Winter,Q1
12/31/18,12/31,Winter,Q1
12/31/15,12/31,Winter,Q1
12/31/14,12/31,Winter,Q1
12/31/13,12/31,Winter,Q1
12/31/12,12/31,Winter,Q1
12/31/10,12/31,Winter,Q1
12/31/09,12/31,Winter,Q1
12/31/08,12/31,Winter,Q1
12/31/07,12/31,Winter,Q1
12/31/04,12/31,Winter,Q1
12/31/03,12/31,Winter,Q1
12/31/02,12/31,Winter,Q1
12/31/01,12/31,Winter,Q1
12/31/99,12/31,Winter,Q1
12/31/98,12/31,Winter,Q1
12/31/97,12/31,Winter,Q1
12/31/96,12/31,Winter,Q1
